Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
Jon Singleton,MIL,AAA,30,581,0.20137694,0.27710843,0.72670807,0.21929825,0.37521515,0.43421053,0.80942568,0.21491228,3.606747526,0.27338129,-1.144781702,90.01310334,14.09281399,0.363471042,118.5626453,10441,0.27338129,0.72222222,0.26689189,0.30743243,0.42567568,0.25396825,0.19047619,0.46308725,0.24496644,0.29194631,0.10741181,1117,1406,2523
Carlos Perez,COL,AAA,31,522,0.10344828,0.19157088,0.54,0.25438596,0.34099617,0.52412281,0.86511898,0.26973685,1.996274393,0.25835866,-0.536168004,83.38911384,7.032304369,0.364684982,109.2097934,10642,0.25835866,0.59195402,0.21751412,0.29096045,0.49152542,0.32183908,0.17816092,0.51944444,0.24444444,0.23611111,0.07659972,832,1309,2141
Delino DeShields,ATL,AAA,29,426,0.17840376,0.27230047,0.65517241,0.21958457,0.36729858,0.26409496,0.63139354,0.04451039,5.603594115,0.32589286,0.888242515,47.27246284,-8.393704564,0.311587812,84.92135357,11379,0.32589286,1.39473684,0.18018018,0.47747748,0.34234234,0.21052632,0.01315789,0.38864629,0.24454148,0.36681223,0.10227273,743,1017,1760
Dixon Machado,CHC,AAA,30,522,0.10153257,0.12260536,0.828125,0.29067245,0.37164751,0.39045553,0.76210304,0.09978308,4.080072915,0.32653061,-0.515353892,73.35966352,3.10466645,0.347130325,105.7166318,11472,0.32653061,1.41085271,0.21265823,0.46075949,0.32658228,0.18604651,0.04651163,0.44221106,0.27135678,0.28643216,0.06754698,771,1198,1969
Juniel Querecuto,CIN,AAA,29,432,0.06712963,0.18518519,0.3625,0.25628141,0.30787037,0.41708543,0.7249558,0.16080402,4.994345146,0.29354839,-0.994850514,50.81544202,-5.634755914,0.319448388,90.01818219,12140,0.29354839,1.11570248,0.2,0.421875,0.378125,0.10743802,0.09090909,0.41925466,0.23291925,0.34782609,0.10787671,629,1123,1752
Jorge Bonifacio,PHI,AAA,29,444,0.10585586,0.28153153,0.376,0.24020888,0.33558559,0.4073107,0.74289629,0.16710182,4.049920534,0.31174089,-0.198272336,57.55193051,-0.466328483,0.333603231,99.19623841,12174,0.31174089,0.45138889,0.18359375,0.25390625,0.5625,0.25,0.10416667,0.45419847,0.2480916,0.29770992,0.13785558,693,1135,1828
Cory Spangenberg,STL,AAA,31,414,0.06521739,0.32608696,0.2,0.23560209,0.28985507,0.38481675,0.67467182,0.14921466,7.414588275,0.33472803,0.757776327,41.53827532,-12.55983103,0.299036808,76.7832335,12294,0.33472803,1.55405405,0.23170732,0.46747967,0.30081301,0.17567568,0.13513514,0.437751,0.24497992,0.31726908,0.15052437,533,1088,1621
Dillon Thomas,HOU,AAA,29,492,0.11382114,0.25813008,0.44094488,0.2705314,0.37804878,0.46618357,0.84423235,0.19565217,4.447573129,0.34432234,-1.503724657,81.37920385,9.410716761,0.370793209,113.0761631,12719,0.34432234,1.34736842,0.2283737,0.44290657,0.32871972,0.09473684,0.18947368,0.36082474,0.3024055,0.33676976,0.14328507,795,1208,2003
John Andreoli,MIN,AAA,32,421,0.18527316,0.35629454,0.52,0.18397626,0.33732057,0.3620178,0.69933837,0.17804154,6.629028359,0.27011494,1.567315637,50.83250248,-4.180306155,0.323227594,92.40121299,13012,0.27011494,0.87671233,0.25945946,0.34594595,0.39459459,0.26027397,0.20547945,0.46842105,0.24210526,0.28947368,0.10703206,827,1107,1934
Wynton Bernard,COL,AAA,31,475,0.08210526,0.14105263,0.58208955,0.33333333,0.38736842,0.58974359,0.97711201,0.25641026,8.653393338,0.35260116,2.869117113,95.91912758,26.43735651,0.41024671,138.0493417,13408,0.35260116,1.64356436,0.25,0.46629213,0.28370787,0.20792079,0.20792079,0.46594005,0.18256131,0.35149864,0.09174312,673,1071,1744
Joey Meneses,WSN,AAA,30,414,0.07729469,0.21497585,0.35955056,0.28609626,0.34057971,0.48930481,0.82988452,0.20320855,2.486291727,0.32103321,-0.592316531,62.39639106,8.29828471,0.358499882,115.3393257,14366,0.32103321,1.13333333,0.22491349,0.41176471,0.3633218,0.08571429,0.19047619,0.42268041,0.20962199,0.36769759,0.11708861,555,1025,1580
Pat Valaika,ATL,AAA,29,466,0.08154506,0.20600858,0.39583333,0.24228029,0.30257511,0.36817102,0.67074613,0.12589073,2.510346362,0.28660436,-0.880057584,47.2521308,-13.64090679,0.300294271,77.59857723,14885,0.28660436,0.81954887,0.2484472,0.33850932,0.41304348,0.27819549,0.07518797,0.38066465,0.24471299,0.37462236,0.1271777,619,1103,1722
Daniel Palka,NYM,AAA,30,445,0.10786517,0.23595506,0.45714286,0.26329114,0.34382022,0.50632911,0.85014933,0.24303797,1.944343175,0.29433962,-1.737324934,70.97347042,12.82453967,0.368856572,122.054644,14897,0.29433962,1.30188679,0.14685315,0.48251748,0.37062937,0.23584906,0.24528302,0.35051546,0.3024055,0.34707904,0.12595644,648,1051,1699
Dustin Peterson,MIL,AAA,27,448,0.09821429,0.22767857,0.43137255,0.2425,0.32142857,0.3775,0.69892857,0.135,4.407758552,0.30344828,-0.537324917,50.65215715,-7.888788853,0.314067281,86.5243229,15189,0.30344828,1.37864078,0.16949153,0.48135593,0.34915254,0.19417476,0.08737864,0.43143813,0.21070234,0.35785953,0.1127907,662,1058,1720
Tyler White,MIL,AAA,31,437,0.16018307,0.201373,0.79545455,0.22969188,0.35697941,0.41176471,0.76874412,0.18207283,3.877849641,0.25482625,-0.409570855,61.51091302,4.40735631,0.346746185,107.7181818,15564,0.25482625,0.71666667,0.23703704,0.31851852,0.44444444,0.21666667,0.13333333,0.44852941,0.22426471,0.32720588,0.0782241,751,1141,1892
Erick Mejia,SEA,AAA,27,521,0.0940499,0.19769674,0.47572816,0.26077586,0.33011583,0.43318966,0.76330549,0.1724138,5.932936014,0.30285714,-0.357863797,67.57373867,-8.63679338,0.332231061,88.66719186,15817,0.30285714,1.31092437,0.23822715,0.43213296,0.32963989,0.30252101,0.12605042,0.46195652,0.23369565,0.30434783,0.09032892,716,1321,2037
Ivan Castillo,KCR,AAA,27,447,0.10067114,0.11856823,0.8490566,0.24234694,0.32207207,0.34693878,0.66901085,0.10459184,4.106597624,0.26409496,-0.889951737,47.11792739,-11.29234686,0.305026836,80.66719083,15971,0.26409496,1.05970149,0.18584071,0.41887906,0.39528024,0.19402985,0.04477612,0.4,0.25217391,0.34782609,0.07758094,607,1030,1637
Kean Wong,LAA,AAA,27,565,0.1079646,0.22123894,0.488,0.26156942,0.34219858,0.33199195,0.67419053,0.07042253,7.091546561,0.34048257,4.360243451,61.81042623,-20.83631199,0.310305344,74.7887062,15994,0.34048257,2.13793103,0.25613079,0.50681199,0.23705722,0.12643678,0.03448276,0.40583554,0.23342175,0.36074271,0.11469534,856,1376,2232
Mark Payton,CHW,AAA,30,539,0.10018553,0.14100186,0.71052632,0.29299363,0.36871508,0.53927813,0.90799321,0.2462845,6.042670977,0.30053191,-0.779710256,96.16901674,25.73694107,0.391198912,136.5415059,16042,0.30053191,1.01315789,0.22727273,0.38888889,0.38383838,0.19736842,0.16447368,0.49876543,0.23209877,0.2691358,0.08446602,768,1292,2060
Pablo Reyes,MIL,AAA,28,432,0.09027778,0.15509259,0.58208955,0.27272727,0.34802784,0.43896104,0.78698888,0.16623377,5.634304155,0.30519481,-1.038898466,62.12956762,5.679369688,0.350359161,110.0608499,16357,0.30519481,1.00892857,0.29022082,0.35646688,0.3533123,0.28571429,0.09821429,0.42056075,0.24299065,0.3364486,0.07639681,682,1072,1754
Domingo Leyba,SDP,"AA,AAA",26,483,0.13457557,0.13871636,0.97014925,0.2549505,0.35610766,0.39851485,0.75462251,0.14356435,4.809933767,0.27380952,1.067552852,64.71158769,-3.756978685,0.341852857,94.67977503,16404,0.27380952,0.86330935,0.23823529,0.35294118,0.40882353,0.29496403,0.07913669,0.58501441,0.16714697,0.24783862,0.06340755,844,1222,2066
