Name,Team,Level,PA,BB%,K%,AVG,OBP,SLG,ISO,BABIP,wRC,wRAA,wOBA,wRC+,LD%,GB%,FB%,IFFB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,Pitches/PA
Jon Singleton,MIL,AAA,581,0.20137694,0.27710843,0.21929825,0.37521515,0.43421053,0.21491228,0.27338129,90.01310334,14.09281399,0.363471042,118.5626453,0.26689189,0.30743243,0.42567568,0.25396825,0.46308725,0.24496644,0.29194631,0.10741181,2523,4.342512909
Carlos Perez,COL,AAA,522,0.10344828,0.19157088,0.25438596,0.34099617,0.52412281,0.26973685,0.25835866,83.38911384,7.032304369,0.364684982,109.2097934,0.21751412,0.29096045,0.49152542,0.32183908,0.51944444,0.24444444,0.23611111,0.07659972,2141,4.101532567
Delino DeShields,ATL,AAA,426,0.17840376,0.27230047,0.21958457,0.36729858,0.26409496,0.04451039,0.32589286,47.27246284,-8.393704564,0.311587812,84.92135357,0.18018018,0.47747748,0.34234234,0.21052632,0.38864629,0.24454148,0.36681223,0.10227273,1760,4.131455399
Dixon Machado,CHC,AAA,522,0.10153257,0.12260536,0.29067245,0.37164751,0.39045553,0.09978308,0.32653061,73.35966352,3.10466645,0.347130325,105.7166318,0.21265823,0.46075949,0.32658228,0.18604651,0.44221106,0.27135678,0.28643216,0.06754698,1969,3.772030651
Juniel Querecuto,CIN,AAA,432,0.06712963,0.18518519,0.25628141,0.30787037,0.41708543,0.16080402,0.29354839,50.81544202,-5.634755914,0.319448388,90.01818219,0.2,0.421875,0.378125,0.10743802,0.41925466,0.23291925,0.34782609,0.10787671,1752,4.055555556
Jorge Bonifacio,PHI,AAA,444,0.10585586,0.28153153,0.24020888,0.33558559,0.4073107,0.16710182,0.31174089,57.55193051,-0.466328483,0.333603231,99.19623841,0.18359375,0.25390625,0.5625,0.25,0.45419847,0.2480916,0.29770992,0.13785558,1828,4.117117117
Cory Spangenberg,STL,AAA,414,0.06521739,0.32608696,0.23560209,0.28985507,0.38481675,0.14921466,0.33472803,41.53827532,-12.55983103,0.299036808,76.7832335,0.23170732,0.46747967,0.30081301,0.17567568,0.437751,0.24497992,0.31726908,0.15052437,1621,3.915458937
Dillon Thomas,HOU,AAA,492,0.11382114,0.25813008,0.2705314,0.37804878,0.46618357,0.19565217,0.34432234,81.37920385,9.410716761,0.370793209,113.0761631,0.2283737,0.44290657,0.32871972,0.09473684,0.36082474,0.3024055,0.33676976,0.14328507,2003,4.071138211
John Andreoli,MIN,AAA,421,0.18527316,0.35629454,0.18397626,0.33732057,0.3620178,0.17804154,0.27011494,50.83250248,-4.180306155,0.323227594,92.40121299,0.25945946,0.34594595,0.39459459,0.26027397,0.46842105,0.24210526,0.28947368,0.10703206,1934,4.593824228
Wynton Bernard,COL,AAA,475,0.08210526,0.14105263,0.33333333,0.38736842,0.58974359,0.25641026,0.35260116,95.91912758,26.43735651,0.41024671,138.0493417,0.25,0.46629213,0.28370787,0.20792079,0.46594005,0.18256131,0.35149864,0.09174312,1744,3.671578947
Joey Meneses,WSN,AAA,414,0.07729469,0.21497585,0.28609626,0.34057971,0.48930481,0.20320855,0.32103321,62.39639106,8.29828471,0.358499882,115.3393257,0.22491349,0.41176471,0.3633218,0.08571429,0.42268041,0.20962199,0.36769759,0.11708861,1580,3.816425121
Pat Valaika,ATL,AAA,466,0.08154506,0.20600858,0.24228029,0.30257511,0.36817102,0.12589073,0.28660436,47.2521308,-13.64090679,0.300294271,77.59857723,0.2484472,0.33850932,0.41304348,0.27819549,0.38066465,0.24471299,0.37462236,0.1271777,1722,3.69527897
Daniel Palka,NYM,AAA,445,0.10786517,0.23595506,0.26329114,0.34382022,0.50632911,0.24303797,0.29433962,70.97347042,12.82453967,0.368856572,122.054644,0.14685315,0.48251748,0.37062937,0.23584906,0.35051546,0.3024055,0.34707904,0.12595644,1699,3.817977528
Dustin Peterson,MIL,AAA,448,0.09821429,0.22767857,0.2425,0.32142857,0.3775,0.135,0.30344828,50.65215715,-7.888788853,0.314067281,86.5243229,0.16949153,0.48135593,0.34915254,0.19417476,0.43143813,0.21070234,0.35785953,0.1127907,1720,3.839285714
Tyler White,MIL,AAA,437,0.16018307,0.201373,0.22969188,0.35697941,0.41176471,0.18207283,0.25482625,61.51091302,4.40735631,0.346746185,107.7181818,0.23703704,0.31851852,0.44444444,0.21666667,0.44852941,0.22426471,0.32720588,0.0782241,1892,4.329519451
Erick Mejia,SEA,AAA,521,0.0940499,0.19769674,0.26077586,0.33011583,0.43318966,0.1724138,0.30285714,67.57373867,-8.63679338,0.332231061,88.66719186,0.23822715,0.43213296,0.32963989,0.30252101,0.46195652,0.23369565,0.30434783,0.09032892,2037,3.909788868
Ivan Castillo,KCR,AAA,447,0.10067114,0.11856823,0.24234694,0.32207207,0.34693878,0.10459184,0.26409496,47.11792739,-11.29234686,0.305026836,80.66719083,0.18584071,0.41887906,0.39528024,0.19402985,0.4,0.25217391,0.34782609,0.07758094,1637,3.662192394
Kean Wong,LAA,AAA,565,0.1079646,0.22123894,0.26156942,0.34219858,0.33199195,0.07042253,0.34048257,61.81042623,-20.83631199,0.310305344,74.7887062,0.25613079,0.50681199,0.23705722,0.12643678,0.40583554,0.23342175,0.36074271,0.11469534,2232,3.950442478
Mark Payton,CHW,AAA,539,0.10018553,0.14100186,0.29299363,0.36871508,0.53927813,0.2462845,0.30053191,96.16901674,25.73694107,0.391198912,136.5415059,0.22727273,0.38888889,0.38383838,0.19736842,0.49876543,0.23209877,0.2691358,0.08446602,2060,3.821892393
Pablo Reyes,MIL,AAA,432,0.09027778,0.15509259,0.27272727,0.34802784,0.43896104,0.16623377,0.30519481,62.12956762,5.679369688,0.350359161,110.0608499,0.29022082,0.35646688,0.3533123,0.28571429,0.42056075,0.24299065,0.3364486,0.07639681,1754,4.060185185
Domingo Leyba,SDP,"AA,AAA",483,0.13457557,0.13871636,0.2549505,0.35610766,0.39851485,0.14356435,0.27380952,64.71158769,-3.756978685,0.341852857,94.67977503,0.23823529,0.35294118,0.40882353,0.29496403,0.58501441,0.16714697,0.24783862,0.06340755,2066,4.277432712
Jason Martin,LAD,AAA,544,0.125,0.24816176,0.28510638,0.37384899,0.56382979,0.27872341,0.33224756,101.8067336,22.2318211,0.39427282,127.9382288,0.21987952,0.43072289,0.34939759,0.14655172,0.38529412,0.25294118,0.36176471,0.11466423,2189,4.023897059
John Nogowski,WSN,"AA,AAA",483,0.14699793,0.13664596,0.24810127,0.36645963,0.36202532,0.11392405,0.27272727,64.19146534,1.830998155,0.336381189,102.8252199,0.23404255,0.3768997,0.38905775,0.265625,0.43413174,0.25748503,0.30838323,0.06226913,1895,3.923395445
Narciso Crook,CHC,AAA,409,0.08801956,0.30317848,0.25966851,0.34474328,0.49171271,0.2320442,0.34246575,64.31987501,10.87512743,0.366225051,120.3483559,0.24034335,0.44635193,0.31330472,0.19178082,0.51680672,0.23109244,0.25210084,0.18250472,1589,3.885085575
Christin Stewart,BOS,AAA,409,0.14914425,0.31784841,0.23668639,0.36430318,0.44970414,0.21301775,0.31937173,63.48359138,10.03884379,0.363811798,118.7835929,0.24519231,0.26442308,0.49038462,0.25490196,0.53554502,0.20379147,0.26066351,0.14149354,1781,4.354523227
Josh Lester,DET,AAA,621,0.0821256,0.22061192,0.2459605,0.31129032,0.47935368,0.23339318,0.27135678,83.63830848,2.491148953,0.339577403,103.0699152,0.18867925,0.38915094,0.42216981,0.19553073,0.47652582,0.22300469,0.30046948,0.14568421,2375,3.824476651
Jakson Reetz,KCR,"AA,AAA",426,0.08215962,0.25352113,0.26430518,0.35915493,0.57493188,0.3106267,0.2887931,78.51744122,22.88737747,0.401917187,141.1577239,0.19844358,0.3151751,0.48638132,0.288,0.5648855,0.20229008,0.23282443,0.14576074,1722,4.042253521
Andrew Stevenson,WSN,AAA,604,0.07615894,0.22516556,0.27889908,0.34437086,0.45688073,0.17798165,0.34343434,87.36438153,8.438641823,0.351332359,110.6918755,0.23341523,0.46928747,0.2972973,0.15702479,0.38141809,0.25183374,0.36674817,0.12283044,2247,3.720198675
Austin Dean,SFG,AAA,438,0.08675799,0.21461187,0.26785714,0.34474886,0.46683673,0.19897959,0.31316726,63.6750797,-0.394427089,0.349162444,99.38437627,0.23630137,0.35958904,0.40410959,0.20338983,0.40468227,0.25752508,0.33779264,0.08318043,1635,3.732876712
Daz Cameron,DET,AAA,430,0.08604651,0.28604651,0.24020888,0.31162791,0.39164491,0.15143603,0.32156863,48.4474834,-7.741371023,0.313594636,86.22258613,0.22178988,0.35797665,0.42023346,0.18518519,0.36015326,0.24904215,0.3908046,0.11482132,1707,3.969767442
Jermaine Palacios,MIN,AAA,428,0.07943925,0.23831776,0.28316327,0.3411215,0.46173469,0.17857142,0.35018051,62.6920924,6.764581481,0.353496737,112.0952665,0.19649123,0.50877193,0.29473684,0.0952381,0.46366782,0.23183391,0.30449827,0.13840623,1669,3.89953271
Brendon Davis,LAA,AAA,589,0.12393888,0.22920204,0.23459245,0.33955857,0.42345924,0.18886679,0.27840909,78.88528865,-0.561674405,0.338066654,99.44692335,0.19891008,0.36512262,0.4359673,0.2125,0.44864865,0.25675676,0.29459459,0.1484375,2304,3.911714771
Estevan Florial,NYY,AAA,461,0.11713666,0.30368764,0.28287841,0.36819172,0.48138958,0.19851117,0.39759036,74.93554445,14.69586564,0.372466996,124.3956574,0.21235521,0.42471042,0.36293436,0.26595745,0.43181818,0.28409091,0.28409091,0.14688664,1879,4.075921909
Stone Garrett,ARI,AAA,440,0.075,0.23863636,0.27506427,0.33178654,0.56812339,0.29305912,0.30152672,72.18531171,7.823250095,0.369338025,112.1550645,0.24305556,0.33333333,0.42361111,0.13934426,0.32758621,0.27586207,0.39655172,0.14775414,1692,3.845454545
Alex De Goti,HOU,AAA,577,0.12651646,0.18024263,0.25303644,0.35243056,0.37651822,0.12348178,0.3012987,73.59063592,-10.81143125,0.329898228,87.19056108,0.25192802,0.41902314,0.32904884,0.1953125,0.4213198,0.20812183,0.37055838,0.09755031,2286,3.96187175
Zack Short,DET,AAA,559,0.15742397,0.26654741,0.22875817,0.35483871,0.37254902,0.14379085,0.30819672,72.13120971,-0.914301041,0.332912419,98.74831317,0.19078947,0.35855263,0.45065789,0.19708029,0.55345912,0.21069182,0.23584906,0.10375369,2371,4.241502683
Nate Mondou,OAK,AAA,449,0.10244989,0.18485523,0.28311688,0.37416481,0.43116883,0.14805195,0.34,68.71184712,3.03328878,0.357431315,104.6183851,0.27124183,0.36601307,0.3627451,0.1981982,0.33876221,0.21824104,0.44299674,0.07270694,1788,3.982182628
Otto Lopez,TOR,"A,AAA",413,0.10411622,0.15738499,0.28333333,0.3649635,0.39444444,0.11111111,0.33559322,57.14600639,3.448037992,0.342921281,105.6946665,0.20274914,0.54982818,0.24742268,0.18055556,0.42666667,0.24,0.33333333,0.07717042,1555,3.765133172
Ben DeLuzio,STL,AAA,408,0.08823529,0.22303922,0.27747253,0.35294118,0.42857143,0.1510989,0.34716981,58.37376394,5.059688113,0.349479296,109.490342,0.2103321,0.4501845,0.33948339,0.30434783,0.41090909,0.24363636,0.34545455,0.11599745,1569,3.845588235
Jake Noll,WSN,AAA,423,0.04728132,0.1820331,0.25641026,0.30732861,0.41538462,0.15897436,0.29411765,49.24898662,-6.025165526,0.318031533,89.09948811,0.22077922,0.3961039,0.38311688,0.29661017,0.47923323,0.20447284,0.31629393,0.14962762,1477,3.491725768
Ronnie Dawson,CIN,AAA,448,0.09375,0.25,0.2519084,0.33928571,0.39440204,0.14249364,0.32352941,57.13457451,-1.406371498,0.331137776,97.59762765,0.20714286,0.47142857,0.32142857,0.15555556,0.37192982,0.26315789,0.36491228,0.12958843,1798,4.013392857
Darick Hall,PHI,AAA,443,0.09480813,0.22573363,0.25380711,0.32957111,0.52791878,0.27411167,0.26765799,69.13775614,11.2501689,0.364815674,119.43451,0.15932203,0.4440678,0.39661017,0.20512821,0.4261745,0.2147651,0.3590604,0.12901272,1651,3.726862302
Rylan Bannon,BAL,AAA,411,0.14355231,0.243309,0.24853801,0.36739659,0.42105263,0.17251462,0.31034483,61.14400416,7.437913074,0.356201879,113.8492914,0.24691358,0.38683128,0.36625514,0.24719101,0.38367347,0.26122449,0.35510204,0.0938914,1768,4.301703163
Dairon Blanco,KCR,AAA,414,0.08454106,0.23671498,0.30054645,0.36650485,0.4863388,0.18579235,0.37065637,67.82248127,13.72437492,0.373968777,125.3694183,0.21132075,0.4490566,0.33962264,0.11111111,0.42909091,0.28,0.29090909,0.15197368,1520,3.671497585
Drew Ellis,SEA,AAA,468,0.15811966,0.25,0.22597403,0.35470085,0.45454545,0.22857142,0.2687747,69.51179231,1.053963132,0.352561241,101.5395801,0.19402985,0.29104478,0.51492537,0.30434783,0.47426471,0.23161765,0.29411765,0.10366748,2045,4.36965812
Adam Haseley,CHW,AAA,463,0.06911447,0.16846652,0.23923445,0.30519481,0.41148325,0.1722488,0.25914634,53.51919139,-6.981830934,0.317045251,88.45997858,0.16320475,0.50445104,0.33234421,0.21428571,0.4244186,0.20930233,0.36627907,0.09373203,1739,3.755939525
Khalil Lee,NYM,"A,AAA",453,0.11037528,0.33112583,0.21354167,0.32964602,0.36979167,0.15625,0.32,53.89517277,-4.870435767,0.321859142,91.98487853,0.19213974,0.4628821,0.34497817,0.16455696,0.41702128,0.25957447,0.32340426,0.14897075,1846,4.075055188
Eguy Rosario,SDP,AAA,564,0.10460993,0.19326241,0.2877551,0.36767318,0.50816327,0.22040817,0.32513661,95.47178923,12.97132843,0.374974355,115.7227345,0.24409449,0.36745407,0.38845144,0.22297297,0.49100257,0.24164524,0.26735219,0.12045977,2175,3.856382979
Conner Capel,OAK,AAA,409,0.12958435,0.17114914,0.26345609,0.36430318,0.42209632,0.15864023,0.3040293,60.45440653,6.510277881,0.354695909,112.0754153,0.20577617,0.39711191,0.39711191,0.21818182,0.39929329,0.26501767,0.33568905,0.08497537,1624,3.970660147
Miles Mastrobuoni,TBR,AAA,573,0.10994764,0.16579407,0.29980276,0.37696335,0.46942801,0.16962525,0.34170854,94.63364421,19.7587289,0.3755412,126.3889833,0.26034063,0.42335766,0.3163017,0.10769231,0.34782609,0.29951691,0.352657,0.06119028,2386,4.164048866
Kramer Robertson,NYM,AAA,514,0.16342412,0.20038911,0.23902439,0.39299611,0.36341463,0.12439024,0.29391892,76.65057232,9.485290522,0.356622945,114.1223118,0.20462046,0.53465347,0.26072607,0.26582278,0.48208469,0.25081433,0.26710098,0.08204896,2206,4.291828794
Brian Miller,MIA,AAA,452,0.08185841,0.17035398,0.29166667,0.34888889,0.43382353,0.14215686,0.34146341,63.64311832,4.579485291,0.346800619,107.7534771,0.19817073,0.46341463,0.33841463,0.18018018,0.42136499,0.24035608,0.33827893,0.10084541,1656,3.663716814
Mark Contreras,MIN,AAA,423,0.08747045,0.29550827,0.23670213,0.31678487,0.41755319,0.18085106,0.31092437,51.88891756,-3.385234584,0.325397416,93.87555584,0.19591837,0.41632653,0.3877551,0.11578947,0.384,0.292,0.324,0.17256922,1553,3.671394799
Miguel Vargas,LAD,AAA,520,0.13653846,0.14615385,0.30365297,0.40384615,0.51141553,0.20776256,0.33142857,98.39303206,22.32877741,0.396511325,129.3551518,0.24581006,0.36592179,0.38826816,0.14388489,0.4359673,0.26158038,0.30245232,0.08272149,2043,3.928846154
